tax_year,week_number,pay_date,net_payment,job_count,avg_job_amount
2024,1,,1586.44,67,23.887164179104477
2024,2,,1336.12,61,22.133114754098358
2024,3,,1086.0,51,21.568627450980394
2024,4,,1486.38,76,19.74184210526316
2024,5,,1156.18,56,20.896071428571428
2024,6,,1416.38,69,20.730144927536234
2024,7,,1600.96,82,19.694634146341464
2024,8,,981.14,41,24.27170731707317
2024,9,,428.0,18,24.555555555555557
2024,10,,1124.14,57,19.967368421052633
2024,11,,1613.28,71,22.919436619718308
2024,12,,1428.09,60,24.03483333333333
2024,13,,1599.21,65,24.818615384615384
2024,14,,1516.6,78,19.623076923076923
2024,15,,1072.4,50,21.728
2024,16,,1586.0,67,23.880597014925375
2024,17,,901.64,38,24.09578947368421
2024,18,,1386.06,54,25.927037037037035
2024,19,,1486.22,70,21.431714285714285
2024,20,,729.04,34,21.85411764705882
2024,21,,1086.52,57,19.30736842105263
2024,22,,1376.78,69,20.15623188405797
2024,23,,1586.7,72,22.231944444444444
2024,24,,1342.08,61,22.230819672131148
2024,25,,1441.62,59,24.671525423728813
2024,26,,1786.0,69,26.08695652173913
2024,27,,1223.54,69,17.93536231884058
2024,28,,1402.7,71,19.953521126760563
2024,29,,1200.0,63,19.26984126984127
2024,30,,1399.66,65,21.748615384615388
2024,31,,1336.0,58,23.275862068965516
2024,32,,1686.32,77,22.08207792207792
2024,33,,1256.9,57,22.296491228070177
2024,34,,1198.44,62,19.55548387096774
2024,35,,1420.84,65,22.074461538461538
2024,36,,1306.0,72,18.333333333333332
2024,37,,1291.0,65,20.076923076923077
2024,38,,1190.9,59,20.422033898305088
2024,39,,1405.92,59,24.066440677966103
2024,40,,1536.0,63,24.603174603174605
2024,41,,1436.0,67,21.64179104477612
2024,42,,1622.06,67,24.418805970149254
2024,43,,1834.2,80,23.1025
2024,44,,1421.0,59,24.322033898305083
2024,45,,1601.4,74,21.82972972972973
2024,46,,824.74,42,19.97
2024,47,,1425.54,83,17.343855421686747
2024,48,,1147.34,59,19.68372881355932
2024,49,,1353.7,67,20.428358208955224
2024,50,,1240.0,65,19.307692307692307
2024,51,,1435.0,69,21.014492753623188
2024,52,,1220.0,66,18.71212121212121
2025,1,,1476.82,80,18.64775
2025,2,,1628.9,83,19.806024096385542
2025,3,,1232.19,53,23.53188679245283
2025,4,,989.74,59,17.02949152542373
2025,5,,1112.06,48,23.480416666666667
2025,6,,1194.46,55,21.990181818181817
2025,7,,1414.02,67,21.32865671641791
2025,8,,1327.08,63,21.302857142857142
2025,9,,830.92,40,21.148
2025,10,,1182.16,59,20.29084745762712
2025,11,,1538.42,73,21.27972602739726
2025,12,,1340.62,64,21.1815625
2025,13,,1296.96,59,22.236610169491527
2025,14,,1120.72,59,19.24949152542373
2025,15,,1250.9,66,19.180303030303033
2025,16,,1240.82,69,18.200289855072462
2025,17,,1047.3,51,20.82941176470588
2025,18,,1386.88,69,20.317101449275363
2025,19,,1152.64,65,17.96369230769231
2025,20,,723.04,35,21.08685714285714
2025,21,,1085.0,48,22.916666666666668
2025,22,,1385.0,64,21.875
2025,23,,1385.3,76,18.425
2025,24,,1176.68,58,20.546206896551727
2025,25,,1222.14,68,18.19323529411765
2025,26,,1271.2,55,23.385454545454547
